scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
garden                       ,3,3,3,3,3,3,0,,,,,
gate                         ,3,3,3,3,3,3,0,,,,,
loft                         ,3,3,3,3,3,3,0,,,,,
mosque/indoor                ,3,3,3,3,3,3,0,,,,,
mosque/outdoor               ,3,3,3,3,3,3,0,,,,,
pavement                     ,3,3,3,3,3,3,0,,,,,
pawnshop                     ,3,3,3,3,3,3,0,,,,,
pawnshop_outdoor             ,3,3,3,3,3,3,0,,,,,
pharmacy                     ,3,3,3,3,3,3,0,,,,,
podium/indoor                ,3,3,3,3,3,3,0,,,,,
podium/outdoor               ,3,3,3,3,3,3,0,,,,,
pontoon_bridge               ,3,3,3,3,3,3,0,,,,,
raft                         ,3,3,3,3,3,3,0,,,,,
sandbar                      ,3,3,3,3,3,3,0,,,,,
stage_set                    ,3,3,3,3,3,3,0,,,,,
synagogue/indoor             ,3,3,3,3,3,3,0,,,,,
synagogue/outdoor            ,3,3,3,3,3,3,0,,,,,
train_station/station        ,3,3,3,3,3,3,0,,,,,
veterinarians_office         ,3,3,3,3,3,3,0,,,,,
attic                        ,4,3,2,3,3,3,0.5,,,,,
back_entrance                ,3,3,2,4,3,3,0.5,,,,,
balustrade                   ,3,3,2,3,4,3,0.5,,,,,
barnyard                     ,4,2,3,3,3,3,0.5,,,,,
basilica                     ,4,3,3,2,3,3,0.5,,,,,
batting_cage/indoor          ,3,2,3,4,3,3,0.5,,,,,
booth/indoor                 ,4,3,2,3,3,3,0.5,,,,,
booth_outdoor                ,4,3,2,3,3,3,0.5,,,,,
box_seat                     ,4,3,3,2,3,3,0.5,,,,,
cabin_cruiser                ,4,3,3,2,3,3,0.5,,,,,
canteen                      ,4,3,3,2,3,3,0.5,,,,,
checkout_counter             ,4,3,2,3,3,3,0.5,,,,,
closet                       ,4,3,2,3,3,3,0.5,,,,,
courtyard                    ,4,3,3,2,3,3,0.5,,,,,
departure_lounge             ,4,3,3,2,3,3,0.5,,,,,
dorm_room                    ,4,3,3,2,3,3,0.5,,,,,
fitting_room/exterior        ,3,3,2,4,3,3,0.5,,,,,
fitting_room/interior        ,3,3,2,4,3,3,0.5,,,,,
flight_of_stairs/natural     ,4,3,3,2,3,3,0.5,,,,,
gas_station                  ,4,3,2,3,3,3,0.5,,,,,
guesthouse                   ,4,3,3,2,3,3,0.5,,,,,
hospital                     ,4,3,2,3,3,3,0.5,,,,,
natural_spring               ,4,3,3,2,3,3,0.5,,,,,
newsstand/indoor             ,4,3,3,2,3,3,0.5,,,,,
palace                       ,4,3,3,2,3,3,0.5,,,,,
palace_hall                  ,4,3,3,2,3,3,0.5,,,,,
river                        ,4,3,3,2,3,3,0.5,,,,,
ski_lodge                    ,3,4,3,2,3,3,0.5,,,,,
ski_resort                   ,3,4,3,2,3,3,0.5,,,,,
ski_slope                    ,3,4,3,3,2,3,0.5,,,,,
snack_bar                    ,3,3,3,4,2,3,0.5,,,,,
terrace_farm                 ,4,3,3,2,3,3,0.5,,,,,
thriftshop                   ,4,3,2,3,3,3,0.5,,,,,
upper_balcony                ,2,3,3,4,3,3,0.5,,,,,
alley                        ,2,4,3,2,4,3,1,,,,,
bamboo_forest                ,4,2,2,3,4,3,1,,,,,
baptistry/outdoor            ,4,2,2,3,4,3,1,,,,,
bazaar/outdoor               ,4,4,3,2,2,3,1,,,,,
beauty_salon                 ,4,2,3,2,4,3,1,,,,,
church/indoor                ,4,2,3,4,2,3,1,,,,,
church/outdoor               ,4,2,3,4,2,3,1,,,,,
galley                       ,3,4,2,2,4,3,1,,,,,
lecture_room                 ,4,2,4,3,2,3,1,,,,,
music_store                  ,4,2,3,4,2,3,1,,,,,
pantry                       ,4,2,3,4,2,3,1,,,,,
rock_garden                  ,2,4,3,2,4,3,1,,,,,
shoe_shop                    ,4,2,3,2,4,3,1,,,,,
swimming_hole                ,4,2,4,3,2,3,1,,,,,
cabana                       ,5,3,2,2,3,3,1.5,,,,,
delicatessen                 ,5,2,3,3,2,3,1.5,,,,,
gazebo/exterior              ,5,2,3,3,2,3,1.5,,,,,
gazebo/interior              ,5,2,3,3,2,3,1.5,,,,,
lobby                        ,5,2,3,3,2,3,1.5,,,,,
ocean                        ,5,2,3,3,2,3,1.5,,,,,
study_hall                   ,5,2,3,3,2,3,1.5,,,,,
vegetable_garden             ,5,2,3,3,2,3,1.5,,,,,
walkway                      ,5,2,3,3,2,3,1.5,,,,,
woodland                     ,5,2,2,3,3,3,1.5,,,,,
washhouse/indoor             ,5,3,3,1,3,3,2,,,,,
washhouse/outdoor            ,5,3,3,1,3,3,2,,,,,
barndoor                     ,3,2,3,3,3,2.8,0.2,,,,,
coast_road                   ,2,3,3,3,3,2.8,0.2,,,,,
road                         ,2,3,3,3,3,2.8,0.2,,,,,
rope_bridge                  ,2,3,3,3,3,2.8,0.2,,,,,
street                       ,2,3,3,3,3,2.8,0.2,,,,,
sunroom                      ,2,3,3,3,3,2.8,0.2,,,,,
arrival_gate/indoor          ,3,3,3,2,3,2.8,0.2,,,,,
arrival_gate/outdoor         ,3,3,3,2,3,2.8,0.2,,,,,
backstairs                   ,3,3,2,3,3,2.8,0.2,,,,,
backstairs_indoor            ,3,3,2,3,3,2.8,0.2,,,,,
bayou                        ,3,3,3,2,3,2.8,0.2,,,,,
bog                          ,3,3,3,2,3,2.8,0.2,,,,,
bus_depot/indoor             ,3,3,3,2,3,2.8,0.2,,,,,
bus_depot/outdoor            ,3,3,3,2,3,2.8,0.2,,,,,
canyon                       ,3,3,2,3,3,2.8,0.2,,,,,
cellar                       ,3,3,2,3,3,2.8,0.2,,,,,
corner                       ,3,3,2,3,3,2.8,0.2,,,,,
corral                       ,3,3,2,3,3,2.8,0.2,,,,,
